================================================================================
                    SMPL LEXICAL ANALYZER OUTPUT
================================================================================
Input file: samples\sample4_functions.smpl
--------------------------------------------------------------------------------
TOKEN TYPE           LEXEME                    LINE
IDENTIFIER           total                     46
IDENTIFIER           scores                    46
LBRACKET             [                         46
IDENTIFIER           i                         46
RBRACKET             ]                         46
SEMICOLON            ;                         46
ABORT                ABORT                     47
TRANSMIT             TRANSMIT                  49
STRING_LITERAL       "Total score:"            49
SEMICOLON            ;                         49
TRANSMIT             TRANSMIT                  50
IDENTIFIER           total                     50
SEMICOLON            ;                         50
LOAD                 LOAD                      53
CARGO_FLOAT          CARGO_FLOAT               53
CARGO_ARRAY          CARGO_ARRAY               53
IDENTIFIER           temps                     53
LBRACKET             [                         53
INTEGER              3                         53
RBRACKET             ]                         53
STORE                STORE                     53
LBRACE               {                         53
FLOAT_NUM            25.5                      53
COMMA                ,                         53
FLOAT_NUM            28.3                      53
COMMA                ,                         53
FLOAT_NUM            22.1                      53
RBRACE               }                         53
SEMICOLON            ;                         53
TRANSMIT             TRANSMIT                  54
STRING_LITERAL       "Temperature readings:"   54
SEMICOLON            ;                         54
SEQUENCE             SEQUENCE                  55
LPAREN               (                         55
LOAD                 LOAD                      55
CARGO_INT            CARGO_INT                 55
IDENTIFIER           j                         55
STORE                STORE                     55
INTEGER              0                         55
SEMICOLON            ;                         55
IDENTIFIER           j                         55
BELOW                BELOW                     55
INTEGER              3                         55
SEMICOLON            ;                         55
BOOST                BOOST                     55
IDENTIFIER           j                         55
RPAREN               )                         55
LAUNCH               LAUNCH                    55
TRANSMIT             TRANSMIT                  56
IDENTIFIER           temps                     56
LBRACKET             [                         56
IDENTIFIER           j                         56
RBRACKET             ]                         56
SEMICOLON            ;                         56
ABORT                ABORT                     57
LANDING              LANDING                   59
SEMICOLON            ;                         59
--------------------------------------------------------------------------------
Lexical analysis completed. Total lines processed: 60
================================================================================
